SimNum,Simulation,Electoral College Winner,SimpleCanidate,Third Party EC Votes,WinningMargin,Democratic EC Votes,Republican EC Votes,Democratic State Wins,Republican State Wins,WinnerStateWins
86,election_86,The Democratic nominee (Biden/Harris),Biden,0,59,328,210,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
87,election_87,The Republican nominee (Trump/Pence),Trump,0,-18,251,287,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
88,election_88,The Republican nominee (Trump/Pence),Trump,0,-5,264,274,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
89,election_89,The Democratic nominee (Biden/Harris),Biden,0,5,274,264,"Iowa, Ohio, Pennsylvania","Wisconsin, Michigan, Arizona","Iowa, Ohio, Pennsylvania"
90,election_90,The Republican nominee (Trump/Pence),Trump,0,-17,252,286,"Wisconsin, Iowa, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
91,election_91,Tie,Tie,0,0,269,269,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia",
92,election_92,The Democratic nominee (Biden/Harris),Biden,0,13,282,256,"Wisconsin, Michigan, Iowa","Arizona, Georgia, Ohio","Wisconsin, Michigan, Iowa"
93,election_93,The Republican nominee (Trump/Pence),Trump,0,-14,255,283,"Wisconsin, Iowa, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
94,election_94,The Democratic nominee (Biden/Harris),Biden,0,20,289,249,"Wisconsin, Michigan, Arizona","Iowa, Ohio, Florida","Wisconsin, Michigan, Arizona"
95,election_95,The Republican nominee (Trump/Pence),Trump,0,-29,240,298,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
96,election_96,The Democratic nominee (Biden/Harris),Biden,0,15,284,254,"Florida, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Florida, Pennsylvania, NA"
